hopcount;requestratio
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;30;0.1
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.06666666666666667
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;30;0.03333333333333333
1;10;0.30000000000000004
1;10;0.1
1;10;0.1
1;10;0.2
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
1;10;0.1
